skewness,replicate,gini,concentration,method,eco_weight,budget_fraction,compressed_units,mean_alt_index,n_cheapest,n_best_conservation,n_unique_alts
uniform,9,0.247075398353102,0.07459508538450751,vector,0.8,0.3,4,0.2727272727272727,17,0,3
uniform,9,0.247075398353102,0.07459508538450751,vector,0.8,0.5,4,0.2727272727272727,17,0,3
uniform,9,0.247075398353102,0.07459508538450751,within_unit,0.5,0.15,0,0.8181818181818182,10,0,3
uniform,9,0.247075398353102,0.07459508538450751,within_unit,0.5,0.3,0,1.8636363636363635,8,0,7
uniform,9,0.247075398353102,0.07459508538450751,within_unit,0.5,0.5,0,3.272727272727273,4,0,7
uniform,9,0.247075398353102,0.07459508538450751,within_unit,0.8,0.15,0,0.9090909090909091,13,0,5
uniform,9,0.247075398353102,0.07459508538450751,within_unit,0.8,0.3,0,2.1818181818181817,6,1,7
uniform,9,0.247075398353102,0.07459508538450751,within_unit,0.8,0.5,0,3.772727272727273,3,3,8
uniform,10,0.21309931754475686,0.06754805408111397,global_linear,0.5,0.15,0,0.8636363636363636,12,0,5
uniform,10,0.21309931754475686,0.06754805408111397,global_linear,0.5,0.3,0,1.1363636363636365,11,0,6
uniform,10,0.21309931754475686,0.06754805408111397,global_linear,0.5,0.5,0,1.1363636363636365,11,0,6
uniform,10,0.21309931754475686,0.06754805408111397,global_linear,0.8,0.15,0,0.9090909090909091,11,0,5
uniform,10,0.21309931754475686,0.06754805408111397,global_linear,0.8,0.3,0,2.1363636363636362,9,0,7
uniform,10,0.21309931754475686,0.06754805408111397,global_linear,0.8,0.5,0,3.6363636363636362,7,3,7
uniform,10,0.21309931754475686,0.06754805408111397,vector,0.5,0.15,4,0.0,22,0,1
uniform,10,0.21309931754475686,0.06754805408111397,vector,0.5,0.3,4,0.0,22,0,1
uniform,10,0.21309931754475686,0.06754805408111397,vector,0.5,0.5,4,0.0,22,0,1
uniform,10,0.21309931754475686,0.06754805408111397,vector,0.8,0.15,4,0.5,15,0,4
uniform,10,0.21309931754475686,0.06754805408111397,vector,0.8,0.3,4,0.5,15,0,4
uniform,10,0.21309931754475686,0.06754805408111397,vector,0.8,0.5,4,0.5,15,0,4
uniform,10,0.21309931754475686,0.06754805408111397,within_unit,0.5,0.15,0,0.8181818181818182,10,0,4
uniform,10,0.21309931754475686,0.06754805408111397,within_unit,0.5,0.3,0,2.0,5,0,6
uniform,10,0.21309931754475686,0.06754805408111397,within_unit,0.5,0.5,0,3.5454545454545454,3,0,7
uniform,10,0.21309931754475686,0.06754805408111397,within_unit,0.8,0.15,0,0.9545454545454546,11,0,5
uniform,10,0.21309931754475686,0.06754805408111397,within_unit,0.8,0.3,0,2.227272727272727,5,0,7
uniform,10,0.21309931754475686,0.06754805408111397,within_unit,0.8,0.5,0,3.772727272727273,2,2,8
uniform,11,0.22334810512091963,0.07565598293066815,global_linear,0.5,0.15,0,0.4090909090909091,13,0,2
uniform,11,0.22334810512091963,0.07565598293066815,global_linear,0.5,0.3,0,0.4090909090909091,13,0,2
uniform,11,0.22334810512091963,0.07565598293066815,global_linear,0.5,0.5,0,0.4090909090909091,13,0,2
uniform,11,0.22334810512091963,0.07565598293066815,global_linear,0.8,0.15,0,1.0,14,1,5
uniform,11,0.22334810512091963,0.07565598293066815,global_linear,0.8,0.3,0,2.227272727272727,9,1,7
uniform,11,0.22334810512091963,0.07565598293066815,global_linear,0.8,0.5,0,3.772727272727273,5,3,7
uniform,11,0.22334810512091963,0.07565598293066815,vector,0.5,0.15,2,0.0,22,0,1
uniform,11,0.22334810512091963,0.07565598293066815,vector,0.5,0.3,2,0.0,22,0,1
uniform,11,0.22334810512091963,0.07565598293066815,vector,0.5,0.5,2,0.0,22,0,1
uniform,11,0.22334810512091963,0.07565598293066815,vector,0.8,0.15,2,0.3181818181818182,15,0,2
uniform,11,0.22334810512091963,0.07565598293066815,vector,0.8,0.3,2,0.3181818181818182,15,0,2
uniform,11,0.22334810512091963,0.07565598293066815,vector,0.8,0.5,2,0.3181818181818182,15,0,2
uniform,11,0.22334810512091963,0.07565598293066815,within_unit,0.5,0.15,0,0.9090909090909091,9,0,5
