method,roadside_built,paddock,te_count,te_min,te_max,te_spread
vector,True,21,16.0,0.007056260722447025,0.0360008072033668,0.028944546480919774
vector,True,22,6.0,0.0027915553566271317,0.014313757663848896,0.011522202307221764
within_unit,False,1,0.0,0.0,0.0,0.0
within_unit,False,2,3.0,0.0,1.0,1.0
within_unit,False,3,9.0,0.0,1.0,1.0
within_unit,False,4,8.0,0.0,1.0,1.0
within_unit,False,5,58.0,0.0,1.0,1.0
within_unit,False,6,6.0,0.0,1.0,1.0
within_unit,False,7,28.0,0.0,1.0,1.0
within_unit,False,8,216.0,0.0,1.0,1.0
within_unit,False,10,2.0,0.0,1.0,1.0
within_unit,False,11,4.0,0.0,1.0,1.0
within_unit,False,12,5.0,0.0,1.0,1.0
within_unit,False,13,1.0,0.0,1.0,1.0
within_unit,False,14,2.0,0.0,1.0,1.0
within_unit,False,15,0.0,0.0,0.0,0.0
within_unit,False,16,2.0,0.0,1.0,1.0
within_unit,False,17,13.0,0.0,1.0,1.0
