method,scenario,budget,budget_M,roadside_built,total_cost,n_conservation_alts,n_alt3,n_unique_alts,te_score,habitat_score,recreationist_score,hunter_score,rancher_score,alt_distribution
vector,Habitat emphasis,40000000,40.0,False,31427563.515999466,4,17,2,0.8818406913959641,0.9374650911992032,15.333333333333332,14.000000000000005,14.5,"{""3"": 17, ""7"": 4}"
vector,Habitat emphasis,60000000,60.0,False,31427563.515999466,4,17,2,0.8818406913959641,0.9374650911992032,15.333333333333332,14.000000000000005,14.5,"{""3"": 17, ""7"": 4}"
vector,Community priority,5000000,5.0,True,4979879.2719159685,0,1,3,0.22020940684194681,0.3122362291524723,1.4444444444444444,14.388888888888886,10.916666666666666,"{""3"": 1, ""10"": 1, ""11"": 19}"
vector,Community priority,10000000,10.0,False,9991987.52948384,0,5,4,0.1980802075681328,0.26342031498284374,6.777777777777778,15.22222222222222,12.291666666666668,"{""1"": 1, ""3"": 5, ""10"": 3, ""11"": 12}"
vector,Community priority,20000000,20.0,False,19992216.31836652,0,15,3,0.20823686782016587,0.23034500092907437,13.666666666666663,16.22222222222223,15.666666666666666,"{""3"": 15, ""10"": 3, ""11"": 3}"
vector,Community priority,40000000,40.0,True,23782387.46941933,0,21,1,0.2217397673707323,0.24505325719597496,15.333333333333332,16.22222222222223,17.166666666666668,"{""3"": 21}"
vector,Community priority,60000000,60.0,True,23782387.46941933,0,21,1,0.2217397673707323,0.24505325719597496,15.333333333333332,16.22222222222223,17.166666666666668,"{""3"": 21}"
vector,Rancher-conservation,5000000,5.0,True,4986330.577044,0,0,2,0.23294527139092433,0.3655350576983605,0.4444444444444444,14.33333333333333,11.25,"{""1"": 2, ""11"": 19}"
vector,Rancher-conservation,10000000,10.0,False,9909687.092697904,0,3,3,0.16472312245623236,0.46927564364597496,3.8888888888888897,15.388888888888895,13.791666666666666,"{""1"": 7, ""3"": 3, ""11"": 11}"
vector,Rancher-conservation,20000000,20.0,False,19943588.08675249,0,16,3,0.23799367604388513,0.44451603958227554,11.999999999999995,16.111111111111118,16.458333333333336,"{""1"": 3, ""3"": 16, ""11"": 2}"
